Frame,Frame Time,ymin,ylow,yavg,yhigh,ymax,umin,ulow,uavg,uhigh,umax,vmin,vlow,vavg,vhigh,vmax,vdif,udif,ydif,satmin,satlow,satavg,sathigh,satmax,huemed,hueavg,tout,vrep,brng,vbitdepth,ubitdepth,ybitdepth,psnr mse v,psnr mse u,psnr mse y,psnr psnr v,psnr psnr u,psnr psnr y,psnr mse avg,psnr psnr avg
35,1.134468,4,132,312.319,613,934,422,496,504.802,512,534,478,498,507.646,514,549,3.34292,4.89586,10.8781,0,2,9.87337,21,93,71,89.4473,0.022551,0,0.015401,10,10,10,19.33611,44.81574,3413.283,47.33382,43.68321,24.86579,1722.679,27.83547
36,1.167835,4,132,313.848,614,939,425,496,504.734,512,552,476,499,507.652,514,619,3.34664,4.93408,12.5054,0,2,9.9219,21,110,71,88.7417,0.020376,0,0.015415,10,10,10,19.3745,43.91667,3634.083,47.32521,43.77122,24.59357,1832.864,27.56621
37,1.201201,4,132,314.37,615,930,424,496,504.638,512,540,476,499,507.889,514,537,3.34869,4.93502,12.9074,0,2,9.92962,22,91,74,90.4329,0.02296,0,0.015449,10,10,10,19.26831,43.18837,3536.523,47.34908,43.84385,24.71175,1783.876,27.68387
38,1.234568,4,132,313.159,614,936,422,496,504.546,512,543,475,499,507.86,514,536,3.3767,5.03672,13.2653,0,2,9.94148,21,94,72,89.8282,0.024088,0,0.015438,10,10,10,18.42651,43.79355,2920.319,47.54308,43.78341,25.54321,1475.714,28.50749
39,1.267935,4,132,312.765,613,938,424,496,504.584,512,542,452,499,507.752,514,540,3.36902,5.03588,12.9567,0,2,9.99831,22,92,71,89.0088,0.024554,0,0.015404,10,10,10,19.11668,45.92756,3155.853,47.38339,43.57678,25.20635,1594.188,28.17212
40,1.301301,4,132,313.078,614,939,424,496,504.716,512,535,478,499,507.714,514,536,3.32957,4.99455,12.5707,0,2,9.92541,22,91,71,89.2053,0.023177,0,0.015404,10,10,10,19.05112,44.42075,3106.257,47.39831,43.72165,25.27514,1568.997,28.24129
41,1.334668,4,132,313.457,614,931,423,494,504.331,512,529,477,498,507.515,513,591,3.40714,5.04853,10.998,0,2,10.2956,22,92,71,86.8769,0.0226,0,0.015406,10,10,10,19.28447,46.17597,3519.228,47.34544,43.55335,24.73304,1775.979,27.70314
42,1.368035,4,132,313.319,614,923,422,494,504.267,512,547,474,499,507.583,513,540,3.35752,4.98338,10.3853,0,2,10.2908,22,94,71,87.0301,0.023805,0,0.015364,10,10,10,19.19962,46.51157,2573.212,47.36459,43.5219,26.09276,1303.034,29.04796
43,1.401401,4,132,312.6,612,934,422,495,504.348,512,542,478,499,507.549,513,542,3.3909,5.09423,11.4202,0,2,10.2227,22,92,71,86.5717,0.023591,0,0.015395,10,10,10,19.21455,45.6078,2562.474,47.36121,43.60712,26.11092,1297.442,29.06663
44,1.434768,4,132,312.573,611,945,419,496,504.317,512,535,478,499,507.679,513,540,3.41765,5.12761,13.3672,0,2,10.1791,21,95,71,86.4827,0.023834,0,0.015366,10,10,10,18.84055,46.45463,2822.99,47.44658,43.52722,25.69042,1427.819,28.65078
45,1.468135,4,132,313.195,613,938,424,494,504.311,512,535,476,499,507.615,514,541,3.43009,5.07116,14.5197,0,2,10.2546,22,91,71,88.3809,0.023594,0,0.015432,10,10,10,20.14198,49.11507,3342.641,47.15649,43.28537,24.95662,1688.635,27.92216
46,1.501502,4,132,312.24,611,930,424,496,504.619,512,559,464,499,507.599,513,538,3.44701,5.10135,11.0192,0,2,10.0003,21,91,71,88.46,0.022408,0,0.015406,10,10,10,19.74914,45.57904,3513.263,47.24203,43.60986,24.74041,1772.964,27.71051
47,1.534868,4,132,314.039,614,937,421,496,504.611,512,568,467,499,507.604,514,539,3.38076,5.01715,15.9914,0,2,10.0215,21,95,71,87.9361,0.019359,0,0.015338,10,10,10,19.75031,46.22354,4094.951,47.24178,43.54888,24.07503,2063.969,27.05048
48,1.568235,4,132,313.946,615,933,430,496,504.583,512,527,455,499,507.653,513,544,3.36863,5.00319,12.3832,0,2,9.9897,21,87,71,88.0936,0.024068,0,0.015286,10,10,10,19.28216,44.13492,2465.057,47.34596,43.74969,26.27924,1248.383,29.23404
49,1.601602,4,132,312.973,612,939,428,496,504.609,512,528,476,500,507.899,514,540,3.38666,4.99081,10.7498,0,2,9.89909,21,89,72,89.8947,0.02404,0,0.015312,10,10,10,19.41327,44.0312,2887.688,47.31653,43.75991,25.59201,1459.705,28.55486
50,1.634968,4,132,313.195,613,944,424,496,504.827,512,529,478,499,507.916,514,542,3.37726,4.96704,10.5294,0,2,9.68413,21,92,71,89.6426,0.023002,0,0.015318,10,10,10,19.0967,42.91182,3656.221,47.38793,43.87174,24.56719,1843.613,27.54082
51,1.668335,4,133,315.466,617,940,423,496,504.841,512,534,478,499,507.727,514,539,3.38291,4.97522,12.3919,0,2,9.82553,21,92,71,90.4585,0.022445,0,0.015286,10,10,10,19.14898,44.61373,4000.076,47.37606,43.70283,24.17683,2015.979,27.15265
52,1.701702,4,133,315.98,617,939,428,496,504.888,512,533,478,499,507.827,514,542,3.33779,4.94736,13.5402,0,2,9.71191,21,89,71,90.374,0.022888,0,0.015272,10,10,10,18.6178,45.47443,3784.729,47.49823,43.61984,24.41716,1908.388,27.39085
53,1.735068,4,133,315.852,617,946,428,496,504.685,512,567,477,499,507.703,514,546,3.36349,5.0181,13.2786,0,2,9.93536,21,89,71,89.2014,0.024363,0,0.015315,10,10,10,19.16764,45.43165,2349.767,47.37183,43.62393,26.48727,1191.033,29.43827
54,1.768435,4,132,314.382,614,932,428,496,504.486,512,550,472,499,507.805,514,550,3.38888,5.00112,13.2218,0,2,10.0128,21,89,71,87.3312,0.02326,0,0.015321,10,10,10,18.7178,43.9435,2304.982,47.47496,43.76857,26.57084,1168.156,29.5225
55,1.801802,4,133,313.358,612,944,424,496,504.535,512,529,476,498,507.642,514,542,3.34715,4.96743,12.9749,0,2,10.0626,22,91,71,87.4417,0.020327,0,0.015246,10,10,10,19.38259,44.98671,3914.236,47.3234,43.66667,24.27104,1973.21,27.24578
56,1.835169,4,133,313.599,613,932,400,496,504.508,512,540,478,499,507.563,513,542,3.33713,4.91563,17.0977,0,2,10.1202,22,115,71,86.9783,0.022074,0,0.015369,10,10,10,19.31455,47.47849,3805.478,47.33867,43.43255,24.39342,1919.437,27.36577
57,1.868535,4,134,316.232,618,946,428,496,504.619,512,537,478,498,507.589,514,539,3.38164,5.07655,13.046,0,2,10.0657,21,88,71,88.3343,0.024108,0,0.015389,10,10,10,19.65003,48.02441,3385.009,47.26388,43.38289,24.90192,1709.423,27.86902
58,1.901902,4,134,313.609,613,930,424,496,504.53,512,589,477,499,507.633,514,555,3.36843,4.98122,16.8221,0,2,10.0703,21,90,71,87.7002,0.023608,0,0.015361,10,10,10,19.26565,46.52323,2562.961,47.34968,43.52081,26.11009,1297.928,29.06501
59,1.935269,4,133,312.577,610,927,422,496,504.829,512,596,479,499,507.69,514,541,3.35482,4.95705,16.5209,0,2,9.86059,21,94,71,89.1505,0.022557,0,0.015369,10,10,10,19.16479,47.01136,2210.69,47.37247,43.47548,26.75224,1121.889,29.69801
60,1.968635,4,133,313.199,611,932,423,496,504.791,512,540,478,498,507.544,514,542,3.37402,4.9961,13.3559,0,2,9.9949,21,94,71,88.5945,0.019041,0,0.015306,10,10,10,19.606,44.7113,3678.384,47.27362,43.69334,24.54094,1855.271,27.51344
61,2.002002,4,133,314.895,615,937,423,496,504.821,512,540,457,499,507.68,514,543,3.41651,5.0098,15.8201,0,2,9.88821,21,92,71,89.5336,0.017713,0,0.015292,10,10,10,19.97236,43.47173,4052.313,47.19322,43.81545,24.12048,2042.018,27.09692
62,2.035369,4,133,315.354,618,938,423,496,504.871,512,536,479,498,507.6,514,558,3.38137,4.89664,17.1212,0,2,9.90918,21,92,71,88.4266,0.021456,0,0.015338,10,10,10,19.82575,43.93453,3372.063,47.22522,43.76945,24.91856,1701.972,27.88799
63,2.068735,4,133,312.975,612,937,422,496,504.852,512,534,475,498,507.546,514,578,3.34003,4.89613,13.6808,0,2,9.98478,21,93,71,88.9711,0.023914,0,0.015426,10,10,10,20.17694,43.91429,3181.822,47.14896,43.77145,25.17075,1606.934,28.13753
64,2.102102,4,133,314.08,614,941,422,496,505.129,512,533,478,498,507.375,513,545,3.37706,4.88193,16.0602,0,2,9.80635,21,93,70,88.3219,0.023585,0,0.015404,10,10,10,19.57383,44.76914,2654.383,47.28075,43.68773,25.95788,1343.277,28.91586
65,2.135469,4,132,313.662,614,930,426,496,505.142,512,535,478,498,507.343,513,562,3.43034,4.97212,11.4912,0,2,9.82899,21,90,70,88.1632,0.02288,0,0.015415,10,10,10,19.45716,44.0048,2967.29,47.30672,43.76251,25.47391,1499.51,28.43802
66,2.168836,4,131,312.466,613,928,428,496,505.157,512,534,459,498,507.41,513,543,3.32366,4.90868,11.0872,0,2,9.77772,21,89,71,89.9674,0.023554,0,0.015415,10,10,10,20.1402,44.18549,3390.482,47.15688,43.74472,24.8949,1711.322,27.8642
67,2.202202,4,131,312.146,612,938,424,496,505.226,512,532,476,498,507.343,513,558,3.42317,4.97422,10.6949,0,2,9.80221,21,91,71,90.0008,0.024037,0,0.015295,10,10,10,20.19453,43.53611,2921.618,47.14518,43.80902,25.54128,1476.742,28.50447
68,2.235569,4,132,312.735,612,944,422,496,504.921,512,549,476,499,507.673,514,544,3.42463,4.97219,11.5576,0,2,9.83986,21,93,71,89.5453,0.024657,0,0.015341,10,10,10,18.81606,42.81261,2900.557,47.45223,43.88179,25.5727,1465.686,28.5371
69,2.268936,4,132,311.593,609,933,422,496,504.94,512,615,478,498,507.601,514,550,3.35831,4.90427,13.666,0,2,9.8371,21,108,71,88.9706,0.023325,0,0.015281,10,10,10,19.47473,46.61578,3394.053,47.3028,43.51218,24.89033,1713.549,27.85855
70,2.302302,4,132,311.841,610,933,420,496,504.985,512,536,480,500,507.969,514,556,3.41016,5.00172,11.7334,0,2,9.54295,20,95,71,90.4889,0.021919,0,0.015326,10,10,10,18.44132,44.31064,3627.679,47.53959,43.73243,24.60123,1829.527,27.57412
71,2.335669,4,132,313.432,613,931,424,496,504.856,512,538,449,499,507.825,514,544,3.37733,4.98759,11.6307,0,2,9.74962,21,91,71,89.5212,0.022748,0,0.015321,10,10,10,19.3094,44.31712,3364.262,47.33983,43.7318,24.92861,1698.038,27.89804
72,2.369036,4,132,313.528,613,928,422,496,504.99,512,533,472,499,507.75,514,546,3.41147,4.99675,10.9621,0,2,9.63929,20,94,71,87.7569,0.023528,0,0.015346,10,10,10,19.30498,43.00078,3319.123,47.34082,43.86275,24.98728,1675.138,27.95701
73,2.402402,4,131,312.54,612,935,422,496,504.832,512,553,465,499,507.646,513,547,3.31444,4.87986,10.5036,0,2,9.77257,21,95,71,88.1904,0.024074,0,0.015361,10,10,10,18.5025,43.79826,2660.543,47.52521,43.78294,25.94781,1345.847,28.90756
74,2.435769,4,132,311.965,610,929,422,496,505.029,512,554,480,498,507.598,513,554,3.33771,4.89043,11.3651,0,2,9.74969,21,93,71,89.5953,0.023954,0,0.015338,10,10,10,19.16463,42.61869,3384.341,47.37251,43.90151,24.90277,1707.616,27.87361
75,2.469136,4,132,312.101,610,939,419,497,505.288,512,538,478,499,507.677,514,549,3.38495,4.91935,10.4489,0,2,9.53492,20,96,71,90.8652,0.02328,0,0.015381,10,10,10,19.94934,45.28368,3961.142,47.19823,43.6381,24.21931,1996.88,27.194
76,2.502503,4,132,312.914,612,938,423,497,505.561,512,591,476,498,507.335,513,545,3.42751,4.91162,14.1865,0,2,9.5479,21,93,69,89.8435,0.021108,0,0.015423,10,10,10,21.37271,43.36121,3935.785,46.89891,43.8265,24.2472,1984.076,27.22193
77,2.535869,4,132,311.881,611,925,420,497,505.33,512,535,479,498,507.602,514,547,3.39059,4.75633,11.6002,0,2,9.50989,20,97,71,89.9455,0.022897,0,0.015478,10,10,10,19.4249,44.58819,3381.174,47.31393,43.70532,24.90684,1706.59,27.87622
78,2.569236,4,131,311.403,610,923,416,497,505.415,512,535,476,498,507.5,513,546,3.32736,4.75665,13.2329,0,2,9.58064,20,101,71,90.3641,0.024394,0,0.015458,10,10,10,19.60429,42.97945,2179.468,47.274,43.86491,26.81401,1105.38,29.7624
79,2.602603,4,132,311.412,609,924,419,497,505.126,512,533,477,498,507.437,513,551,3.34051,4.83095,16.5955,0,2,9.77958,21,97,71,88.0668,0.023651,0,0.015381,10,10,10,18.47454,41.69848,2178.869,47.53178,43.99631,26.8152,1104.478,29.76594
80,2.635969,4,132,310.522,608,949,410,496,505.051,512,584,478,499,507.704,513,608,3.3513,4.81738,15.5107,0,2,9.64484,20,118,71,88.913,0.024446,0,0.015343,10,10,10,19.36818,42.4939,3270.998,47.32663,43.91425,25.05071,1650.964,28.02014
81,2.669336,4,132,309.847,608,937,416,496,504.9,512,535,478,498,507.646,514,546,3.33772,4.94497,14.7085,0,2,9.85673,21,100,71,89.6244,0.024314,0,0.015343,10,10,10,19.1287,45.27847,3660.134,47.38066,43.6386,24.56254,1846.169,27.5348
82,2.702703,4,132,311.478,612,937,420,496,504.864,512,591,463,499,507.795,514,546,3.38111,4.9482,12.8885,0,2,9.82211,21,97,72,91.1045,0.023968,0,0.015318,10,10,10,19.82179,45.44062,3518.165,47.22609,43.62307,24.73435,1775.398,27.70456
83,2.736069,4,131,310.118,609,936,414,496,504.984,512,540,476,499,507.791,514,549,3.38754,5.0117,10.1016,0,2,9.68185,21,100,71,90.1185,0.024414,0,0.015372,10,10,10,19.11854,43.82369,3074.782,47.38297,43.78042,25.31937,1553.127,28.28544
84,2.769436,4,131,309.902,607,925,418,496,505.044,512,533,476,499,507.747,514,550,3.30943,4.79063,14.6655,0,2,9.66136,21,98,71,89.5756,0.021033,0,0.015352,10,10,10,19.24814,41.35389,3650.794,47.35363,44.03235,24.57364,1840.548,27.54804
85,2.802803,4,132,310.288,608,934,418,496,504.922,512,531,477,498,507.649,514,563,3.3491,4.7964,13.4946,0,2,9.87028,21,97,71,90.5202,0.021625,0,0.015352,10,10,10,19.47006,43.81501,3362.751,47.30384,43.78128,24.93057,1697.197,27.90019
86,2.83617,4,132,309.48,607,933,418,497,505.321,512,570,478,499,507.798,514,556,3.31867,4.81433,12.5994,0,2,9.42573,20,99,71,90.2917,0.022399,0,0.015361,10,10,10,18.03775,39.89543,3087.91,47.63569,44.18828,25.30087,1558.438,28.27062
87,2.869536,4,132,309.334,607,938,416,497,505.235,512,534,478,500,508.16,514,550,3.33489,4.85375,10.6782,0,2,9.289,20,100,73,92.3145,0.02296,0,0.015418,10,10,10,18.5169,42.22078,3297.774,47.52183,43.94225,25.01531,1664.071,27.98579
88,2.902903,4,131,308.067,605,938,414,496,504.877,512,575,478,500,508.103,514,551,3.3199,4.91083,10.4616,0,2,9.56381,20,104,72,90.0626,0.023411,0,0.015409,10,10,10,18.69717,42.19369,3291.158,47.47976,43.94504,25.02403,1660.802,27.99434
89,2.93627,4,131,307.839,605,936,419,496,504.898,512,533,469,500,508.04,514,550,3.31552,4.91122,9.38897,0,2,9.55072,20,98,71,89.6865,0.023188,0,0.015401,10,10,10,18.14832,41.55196,3100.457,47.60915,44.0116,25.28326,1565.153,28.25194
90,2.969636,4,130,308.663,607,932,420,496,504.813,512,529,470,500,507.984,514,546,3.32004,4.89814,9.70247,0,2,9.66224,20,95,71,89.5006,0.023491,0,0.015446,10,10,10,18.11482,42.22502,2791.935,47.61717,43.94181,25.73846,1411.053,28.70208
91,3.003003,4,131,309.008,607,932,419,496,504.813,512,534,478,500,507.997,514,548,3.2629,4.81273,9.74108,0,2,9.65205,21,98,71,89.1756,0.024146,0,0.015449,10,10,10,18.74606,43.34364,2750.511,47.46841,43.82826,25.80338,1390.778,28.76494
92,3.03637,4,131,308.49,606,937,416,496,504.723,512,542,479,500,508.134,514,548,3.28367,4.77478,11.0908,0,2,9.62965,20,102,71,89.6759,0.023774,0,0.015429,10,10,10,19.09648,42.20759,2768.344,47.38798,43.94361,25.77531,1399.498,28.73779
93,3.069736,4,132,309.173,607,931,418,496,504.351,512,536,478,500,508.008,514,552,3.30704,4.87539,12.1847,0,2,9.96117,21,99,71,87.6849,0.024343,0,0.015566,10,10,10,18.31545,44.92459,3612.789,47.56934,43.67267,24.61909,1822.204,27.59154
94,3.103103,4,132,310.249,609,938,424,495,504.374,512,592,478,500,508.068,514,552,3.34327,4.97299,10.9559,0,2,9.9616,21,92,71,89.509,0.023897,0,0.015532,10,10,10,18.45814,48.02691,3663.131,47.53563,43.38267,24.55899,1848.187,27.53005
95,3.13647,4,132,310.497,610,930,424,496,504.598,512,536,478,500,508.064,514,549,3.27914,4.882,10.1416,0,2,9.78679,21,94,72,89.808,0.024303,0,0.015515,10,10,10,18.38049,45.17947,3114.86,47.55394,43.6481,25.26313,1573.32,28.22934
96,3.169837,4,131,309.775,609,913,421,496,504.806,512,577,438,500,508.07,514,547,3.28185,4.84022,11.2559,0,2,9.63789,21,97,72,90.7512,0.025071,0,0.015498,10,10,10,18.62254,44.08298,2506.059,47.49712,43.7548,26.2076,1268.706,29.1639
97,3.203203,4,132,309.838,608,925,422,496,504.878,512,532,475,499,507.843,514,549,3.24227,4.72517,12.7618,0,2,9.67876,21,96,71,89.5516,0.0238,0,0.015486,10,10,10,18.89573,43.4315,2271.739,47.43388,43.81947,26.63393,1151.451,29.58506
98,3.23657,4,133,310.239,607,927,418,496,505.018,512,549,474,498,507.675,514,548,3.37985,4.86716,14.4474,0,2,9.70733,21,99,71,89.0988,0.017061,0,0.015535,10,10,10,19.1139,43.38448,4135.293,47.38402,43.82417,24.03245,2083.271,27.01006
99,3.269937,4,134,311.99,610,939,422,496,505.084,512,557,479,498,507.591,513,549,3.33074,4.7463,20.3992,0,2,9.69669,21,95,71,88.8448,0.017887,0,0.015538,10,10,10,19.43522,44.24998,3926.198,47.31162,43.73838,24.25779,1979.02,27.23301
100,3.303303,4,134,312.623,613,928,422,496,505.022,512,574,478,498,507.602,513,549,3.34247,4.78965,16.2838,0,2,9.73232,21,93,71,89.1246,0.020625,0,0.015389,10,10,10,19.14102,41.94398,3509.961,47.37787,43.97082,24.74449,1770.252,27.71716
