,Frame Time,ubitdepth,ymin,ylow,yavg,yhigh,ymax,umin,ulow,uavg,uhigh,umax,vmin,vlow,vavg,vhigh,vmax,satmin,satlow,satavg,sathigh,satmax,huemed,hueavg,ydif,udif,vdif,ybitdepth,vbitdepth
42,1.368,10.0,4.0,65.0,126.035,200.0,1019.0,118.0,469.0,497.34,526.0,737.0,376.0,499.0,515.38,532.0,752.0,0.0,5.0,29.1742,64.0,399.0,111.0,137.452,12.7291,15.1172,10.835,10.0,10.0
43,1.401,10.0,4.0,65.0,126.055,199.0,938.0,106.0,469.0,497.52,526.0,726.0,373.0,499.0,515.511,532.0,760.0,0.0,5.0,29.1385,63.0,409.0,112.0,137.909,12.2564,15.0735,10.7933,10.0,10.0
44,1.435,10.0,4.0,64.0,125.558,199.0,968.0,122.0,469.0,497.606,526.0,742.0,371.0,499.0,515.567,532.0,732.0,0.0,5.0,29.1985,64.0,392.0,112.0,138.177,11.8801,15.0376,10.717,10.0,10.0
45,1.468,10.0,4.0,64.0,125.1,199.0,1019.0,110.0,470.0,497.84,526.0,736.0,358.0,498.0,514.991,530.0,750.0,0.0,5.0,28.8606,63.0,402.0,110.0,137.302,14.7252,14.9113,10.724,10.0,10.0
46,1.502,10.0,4.0,64.0,125.22,198.0,936.0,106.0,470.0,497.87,526.0,740.0,384.0,499.0,515.592,532.0,737.0,0.0,5.0,28.921,63.0,409.0,113.0,138.517,13.2763,14.9568,10.737,10.0,10.0
47,1.535,10.0,4.0,64.0,125.427,197.0,965.0,93.0,469.0,497.904,526.0,720.0,380.0,498.0,515.29,531.0,769.0,0.0,5.0,28.9138,63.0,422.0,111.0,138.461,12.8549,14.9664,10.5953,10.0,10.0
48,1.568,10.0,4.0,67.0,127.074,201.0,949.0,128.0,470.0,497.717,526.0,756.0,352.0,499.0,515.646,532.0,724.0,0.0,5.0,28.94,63.0,388.0,112.0,137.581,12.4627,14.8242,10.8221,10.0,10.0
49,1.602,10.0,4.0,66.0,126.058,199.0,936.0,75.0,470.0,497.579,526.0,736.0,380.0,499.0,515.722,532.0,770.0,0.0,5.0,28.9966,63.0,438.0,112.0,137.885,12.301,14.4993,10.4937,10.0,10.0
50,1.635,10.0,4.0,64.0,125.091,198.0,964.0,85.0,469.0,497.53,526.0,765.0,367.0,498.0,515.261,532.0,747.0,0.0,5.0,29.0883,64.0,432.0,111.0,136.936,13.4628,14.9086,10.525,10.0,10.0
51,1.668,10.0,4.0,65.0,125.987,199.0,1019.0,105.0,469.0,497.782,526.0,773.0,356.0,498.0,515.548,532.0,728.0,0.0,5.0,29.081,63.0,410.0,113.0,138.997,11.8179,14.9452,10.6419,10.0,10.0
52,1.702,10.0,4.0,65.0,125.821,199.0,976.0,140.0,469.0,497.584,526.0,722.0,380.0,499.0,515.268,531.0,747.0,0.0,5.0,29.0939,63.0,374.0,111.0,137.251,12.3237,14.9378,10.7347,10.0,10.0
53,1.735,10.0,4.0,66.0,126.645,199.0,966.0,108.0,470.0,497.71,526.0,736.0,345.0,498.0,515.283,532.0,742.0,0.0,5.0,29.0479,63.0,405.0,111.0,137.583,13.3488,14.8865,10.7376,10.0,10.0
54,1.768,10.0,4.0,66.0,126.565,199.0,965.0,124.0,469.0,497.943,526.0,729.0,358.0,498.0,515.347,532.0,744.0,0.0,5.0,29.0214,64.0,390.0,112.0,138.91,11.5765,15.0546,10.8359,10.0,10.0
55,1.802,10.0,4.0,66.0,126.583,200.0,962.0,92.0,470.0,497.854,526.0,773.0,387.0,498.0,514.959,530.0,723.0,0.0,5.0,28.7908,63.0,422.0,111.0,138.371,12.2833,14.8962,10.6125,10.0,10.0
56,1.835,10.0,4.0,66.0,126.41,200.0,928.0,106.0,470.0,498.047,526.0,726.0,380.0,499.0,515.252,532.0,748.0,0.0,5.0,28.7693,63.0,409.0,112.0,138.772,11.3154,14.752,10.5352,10.0,10.0
57,1.869,10.0,4.0,63.0,124.069,197.0,952.0,106.0,470.0,497.91,526.0,756.0,366.0,498.0,514.935,530.0,728.0,0.0,5.0,28.7952,63.0,409.0,111.0,137.983,12.6379,14.8799,10.5635,10.0,10.0
58,1.902,10.0,4.0,62.0,124.327,198.0,1019.0,86.0,470.0,498.058,526.0,720.0,372.0,498.0,515.234,532.0,742.0,0.0,5.0,28.8286,63.0,433.0,112.0,138.799,12.5024,14.9138,10.5857,10.0,10.0
59,1.935,10.0,4.0,62.0,123.7,196.0,955.0,122.0,470.0,497.609,526.0,734.0,368.0,498.0,515.497,532.0,744.0,0.0,5.0,29.0966,63.0,391.0,112.0,138.094,11.9735,15.0063,10.79,10.0,10.0
60,1.969,10.0,4.0,64.0,124.976,199.0,951.0,140.0,470.0,497.736,526.0,731.0,380.0,498.0,515.192,531.0,741.0,0.0,5.0,28.9312,63.0,374.0,111.0,138.042,13.763,14.9612,10.7016,10.0,10.0
61,2.002,10.0,4.0,65.0,125.723,200.0,1019.0,97.0,470.0,497.856,526.0,738.0,360.0,499.0,515.709,532.0,763.0,0.0,5.0,28.8974,63.0,415.0,114.0,139.21,12.4885,14.8827,10.6833,10.0,10.0
62,2.035,10.0,4.0,64.0,125.132,200.0,979.0,81.0,470.0,498.158,526.0,736.0,370.0,498.0,515.428,532.0,761.0,0.0,5.0,28.7629,63.0,435.0,113.0,140.129,12.7477,14.83,10.6931,10.0,10.0
63,2.069,10.0,4.0,64.0,125.219,198.0,960.0,106.0,469.0,497.811,526.0,737.0,348.0,499.0,515.593,532.0,747.0,0.0,5.0,29.097,63.0,410.0,113.0,138.932,14.0785,15.0429,10.7424,10.0,10.0
64,2.102,10.0,4.0,63.0,125.083,198.0,962.0,106.0,469.0,498.0,526.0,750.0,361.0,499.0,515.939,532.0,747.0,0.0,5.0,29.0787,63.0,408.0,116.0,140.871,12.3013,14.9513,10.7978,10.0,10.0
65,2.135,10.0,4.0,62.0,124.596,198.0,939.0,118.0,470.0,497.904,526.0,935.0,349.0,498.0,515.556,532.0,750.0,0.0,5.0,28.9117,63.0,423.0,113.0,139.284,12.973,14.8339,10.7822,10.0,10.0
66,2.169,10.0,4.0,63.0,125.454,199.0,951.0,94.0,470.0,498.101,526.0,934.0,359.0,499.0,515.942,532.0,740.0,0.0,5.0,29.0764,63.0,422.0,116.0,140.83,11.2212,14.8588,10.6827,10.0,10.0
67,2.202,10.0,4.0,62.0,124.521,198.0,953.0,104.0,470.0,498.429,526.0,865.0,362.0,499.0,515.72,532.0,752.0,0.0,5.0,28.6072,63.0,409.0,116.0,141.207,12.896,15.0026,10.7999,10.0,10.0
68,2.236,10.0,4.0,62.0,123.968,197.0,956.0,106.0,470.0,498.423,527.0,891.0,366.0,499.0,516.167,533.0,734.0,0.0,5.0,28.872,62.0,407.0,117.0,142.216,12.7452,15.0877,10.8913,10.0,10.0
69,2.269,10.0,4.0,62.0,124.364,198.0,945.0,124.0,470.0,498.375,526.0,891.0,370.0,500.0,516.578,533.0,736.0,0.0,5.0,28.8208,62.0,392.0,118.0,141.648,11.4774,15.194,10.8528,10.0,10.0
70,2.302,10.0,4.0,62.0,124.656,199.0,945.0,90.0,471.0,498.571,527.0,871.0,353.0,500.0,516.588,533.0,736.0,0.0,5.0,28.8306,63.0,425.0,119.0,142.775,13.8401,14.8301,10.8417,10.0,10.0
71,2.336,10.0,4.0,63.0,124.496,197.0,944.0,100.0,471.0,498.531,527.0,885.0,381.0,500.0,516.769,533.0,743.0,0.0,5.0,28.8937,62.0,414.0,119.0,142.628,12.9414,14.8789,10.9337,10.0,10.0
72,2.369,10.0,4.0,61.0,124.327,198.0,1013.0,99.0,470.0,498.107,527.0,917.0,358.0,500.0,516.829,534.0,778.0,0.0,5.0,29.1327,63.0,417.0,119.0,142.182,12.6716,14.8008,10.9213,10.0,10.0
73,2.402,10.0,4.0,62.0,124.036,197.0,1019.0,118.0,470.0,498.026,526.0,784.0,228.0,500.0,516.832,533.0,745.0,0.0,5.0,28.9489,63.0,394.0,119.0,141.453,12.1108,14.9287,10.8568,10.0,10.0
74,2.436,10.0,4.0,62.0,123.798,198.0,1019.0,90.0,470.0,498.143,526.0,920.0,366.0,500.0,516.944,533.0,731.0,0.0,5.0,28.9637,62.0,424.0,119.0,142.489,11.4567,14.8153,10.9203,10.0,10.0
75,2.469,10.0,4.0,63.0,124.238,198.0,944.0,107.0,471.0,498.39,526.0,882.0,359.0,500.0,516.62,533.0,744.0,0.0,5.0,28.6214,63.0,411.0,119.0,142.027,12.2625,14.703,10.9176,10.0,10.0
76,2.503,10.0,4.0,63.0,124.036,197.0,967.0,114.0,471.0,498.821,527.0,954.0,358.0,500.0,516.874,533.0,732.0,0.0,5.0,28.6228,63.0,442.0,120.0,144.221,11.2146,14.8147,10.8355,10.0,10.0
77,2.536,10.0,4.0,66.0,126.659,201.0,945.0,114.0,469.0,498.034,527.0,736.0,343.0,500.0,516.882,533.0,752.0,0.0,5.0,29.2107,64.0,399.0,120.0,142.835,13.8213,14.9538,10.9596,10.0,10.0
78,2.569,10.0,4.0,66.0,126.869,201.0,952.0,86.0,470.0,498.261,527.0,734.0,352.0,500.0,517.055,534.0,826.0,0.0,5.0,29.2455,63.0,427.0,120.0,143.891,13.4191,15.1685,10.9554,10.0,10.0
79,2.603,10.0,4.0,65.0,126.341,200.0,953.0,108.0,470.0,498.565,527.0,909.0,344.0,500.0,517.038,534.0,746.0,0.0,5.0,28.9282,63.0,406.0,121.0,144.139,11.2039,14.975,10.9673,10.0,10.0
80,2.636,10.0,4.0,65.0,126.661,200.0,957.0,106.0,471.0,498.624,527.0,940.0,380.0,500.0,516.542,533.0,731.0,0.0,5.0,28.7543,63.0,430.0,120.0,144.021,12.0155,14.569,10.8481,10.0,10.0
81,2.669,10.0,4.0,65.0,126.827,201.0,947.0,118.0,470.0,498.558,526.0,915.0,383.0,500.0,517.01,533.0,746.0,0.0,5.0,28.825,63.0,410.0,122.0,144.045,11.5495,14.7565,10.8113,10.0,10.0
82,2.703,10.0,4.0,65.0,126.419,201.0,971.0,92.0,470.0,498.312,527.0,721.0,174.0,500.0,516.799,534.0,729.0,0.0,5.0,29.1463,63.0,426.0,120.0,143.434,13.3463,14.844,11.0289,10.0,10.0
83,2.736,10.0,4.0,66.0,126.437,200.0,1019.0,67.0,470.0,498.014,527.0,916.0,352.0,500.0,517.245,534.0,745.0,0.0,5.0,29.3941,63.0,449.0,120.0,143.278,12.4273,14.9594,10.942,10.0,10.0
84,2.769,10.0,4.0,65.0,126.09,200.0,1019.0,119.0,470.0,498.006,527.0,778.0,194.0,500.0,516.894,533.0,745.0,0.0,5.0,29.3778,63.0,395.0,119.0,142.567,11.9798,14.9032,11.0356,10.0,10.0
85,2.803,10.0,4.0,65.0,125.635,199.0,945.0,105.0,469.0,498.006,527.0,733.0,240.0,500.0,516.305,533.0,756.0,0.0,5.0,29.27,64.0,407.0,116.0,141.828,14.5115,15.1009,10.9184,10.0,10.0
86,2.836,10.0,4.0,65.0,125.807,200.0,989.0,67.0,470.0,498.249,527.0,732.0,214.0,500.0,516.753,533.0,742.0,0.0,5.0,29.1939,64.0,448.0,119.0,142.904,12.8035,15.0217,10.7339,10.0,10.0
87,2.87,10.0,4.0,64.0,125.128,200.0,928.0,108.0,469.0,498.343,527.0,747.0,246.0,500.0,516.398,533.0,764.0,0.0,5.0,28.9673,64.0,407.0,118.0,143.399,13.3631,15.0925,10.8211,10.0,10.0
88,2.903,10.0,4.0,66.0,126.128,201.0,1019.0,116.0,470.0,498.393,526.0,712.0,198.0,500.0,516.832,533.0,756.0,0.0,5.0,28.7227,62.0,398.0,120.0,143.323,13.2239,14.7953,10.812,10.0,10.0
89,2.936,10.0,4.0,65.0,126.102,201.0,948.0,106.0,470.0,498.298,526.0,715.0,262.0,499.0,516.574,533.0,752.0,0.0,5.0,28.9153,63.0,407.0,120.0,143.42,11.8847,14.8825,10.9677,10.0,10.0
90,2.97,10.0,4.0,66.0,126.791,201.0,954.0,100.0,470.0,498.693,527.0,942.0,378.0,500.0,516.546,533.0,728.0,0.0,5.0,28.7296,63.0,430.0,119.0,142.736,13.2664,15.0908,10.9292,10.0,10.0
91,3.003,10.0,4.0,66.0,126.508,200.0,1019.0,124.0,471.0,498.708,527.0,892.0,364.0,499.0,516.817,533.0,733.0,0.0,5.0,28.8886,63.0,392.0,122.0,144.591,11.8049,14.8473,10.8906,10.0,10.0
92,3.036,10.0,4.0,66.0,127.008,201.0,994.0,128.0,471.0,498.889,528.0,932.0,362.0,499.0,516.439,533.0,749.0,0.0,5.0,28.6878,63.0,425.0,120.0,144.05,14.0391,14.7879,10.9471,10.0,10.0
93,3.07,10.0,4.0,66.0,126.713,202.0,1019.0,143.0,470.0,498.937,527.0,832.0,365.0,499.0,516.404,533.0,742.0,0.0,5.0,28.6786,63.0,379.0,120.0,143.736,12.6451,14.6381,10.7787,10.0,10.0
94,3.103,10.0,4.0,65.0,126.079,199.0,946.0,74.0,470.0,499.016,528.0,889.0,358.0,499.0,516.287,533.0,769.0,0.0,5.0,28.6011,63.0,438.0,120.0,144.285,12.6484,14.8509,10.8061,10.0,10.0
95,3.136,10.0,4.0,65.0,125.633,199.0,949.0,138.0,470.0,498.937,527.0,884.0,370.0,499.0,516.095,532.0,760.0,0.0,5.0,28.5731,63.0,411.0,118.0,143.083,15.5132,14.9928,10.7034,10.0,10.0
96,3.17,10.0,4.0,65.0,126.101,199.0,940.0,117.0,470.0,498.827,528.0,864.0,368.0,500.0,516.755,533.0,779.0,0.0,5.0,28.8684,63.0,396.0,120.0,143.879,13.2892,15.1501,10.9781,10.0,10.0
97,3.203,10.0,4.0,65.0,126.488,200.0,961.0,125.0,470.0,498.648,527.0,814.0,365.0,500.0,516.74,533.0,742.0,0.0,5.0,28.9773,63.0,388.0,120.0,144.37,12.5917,15.0549,10.8879,10.0,10.0
98,3.237,10.0,4.0,64.0,124.514,198.0,913.0,122.0,472.0,499.355,528.0,746.0,358.0,500.0,516.525,533.0,806.0,0.0,5.0,28.3257,62.0,393.0,121.0,144.963,14.3253,14.9493,10.9193,10.0,10.0
99,3.27,10.0,4.0,64.0,125.149,198.0,957.0,116.0,471.0,499.296,527.0,718.0,373.0,499.0,516.496,533.0,757.0,0.0,5.0,28.2414,62.0,397.0,122.0,145.501,11.6696,14.6136,10.8351,10.0,10.0
100,3.303,10.0,4.0,63.0,124.486,197.0,954.0,118.0,471.0,499.459,528.0,757.0,376.0,499.0,516.344,533.0,758.0,0.0,5.0,28.2587,62.0,397.0,121.0,145.311,12.6562,14.513,10.799,10.0,10.0
101,3.337,10.0,4.0,63.0,124.687,198.0,964.0,100.0,471.0,499.423,528.0,722.0,358.0,500.0,516.495,533.0,730.0,0.0,5.0,28.4633,63.0,413.0,122.0,145.912,11.6865,14.7455,10.8743,10.0,10.0
102,3.37,10.0,4.0,64.0,125.004,197.0,965.0,86.0,471.0,498.877,528.0,730.0,358.0,500.0,516.519,533.0,746.0,0.0,5.0,28.6639,63.0,428.0,120.0,143.721,14.8774,15.0298,10.9816,10.0,10.0
103,3.403,10.0,4.0,66.0,125.72,198.0,949.0,176.0,471.0,499.18,527.0,784.0,364.0,500.0,516.382,533.0,763.0,0.0,5.0,28.4099,63.0,343.0,120.0,144.588,13.3776,14.8504,10.8424,10.0,10.0
104,3.437,10.0,4.0,65.0,126.109,199.0,954.0,128.0,472.0,499.647,529.0,731.0,382.0,499.0,516.299,533.0,736.0,0.0,5.0,28.323,63.0,388.0,121.0,144.943,11.415,14.8045,10.8902,10.0,10.0
105,3.47,10.0,4.0,65.0,126.083,200.0,949.0,113.0,471.0,499.582,529.0,729.0,366.0,499.0,516.103,532.0,733.0,0.0,5.0,28.2954,63.0,400.0,120.0,145.271,13.1734,14.8565,10.7341,10.0,10.0
106,3.504,10.0,4.0,66.0,127.11,201.0,958.0,75.0,471.0,499.175,528.0,745.0,379.0,500.0,516.591,533.0,728.0,0.0,5.0,28.463,64.0,439.0,121.0,144.448,12.3847,15.0365,10.9373,10.0,10.0
107,3.537,10.0,4.0,65.0,125.788,199.0,969.0,124.0,470.0,498.966,527.0,723.0,364.0,500.0,516.409,533.0,765.0,0.0,5.0,28.4537,63.0,392.0,120.0,143.628,13.1644,14.9666,10.8185,10.0,10.0
108,3.57,10.0,4.0,66.0,126.317,200.0,955.0,133.0,471.0,499.173,528.0,736.0,380.0,500.0,516.505,533.0,735.0,0.0,5.0,28.3351,63.0,381.0,120.0,144.607,12.3381,14.8937,10.8184,10.0,10.0
109,3.604,10.0,4.0,65.0,126.201,200.0,968.0,118.0,471.0,499.368,528.0,737.0,379.0,500.0,516.506,533.0,732.0,0.0,5.0,28.4388,63.0,394.0,120.0,144.719,11.4423,14.749,10.8295,10.0,10.0
110,3.637,10.0,4.0,65.0,125.442,199.0,945.0,100.0,471.0,499.565,529.0,726.0,376.0,499.0,516.2,533.0,741.0,0.0,5.0,28.3582,63.0,416.0,120.0,145.268,13.4462,14.7658,10.7843,10.0,10.0
111,3.67,10.0,4.0,64.0,125.566,201.0,1019.0,102.0,471.0,499.636,528.0,730.0,376.0,499.0,516.313,533.0,746.0,0.0,5.0,28.229,63.0,414.0,122.0,146.421,12.4836,14.661,10.8766,10.0,10.0
112,3.704,10.0,4.0,65.0,125.658,200.0,949.0,96.0,471.0,499.605,528.0,730.0,360.0,499.0,516.229,533.0,740.0,0.0,5.0,28.1033,62.0,420.0,120.0,145.372,12.7487,14.6937,10.8821,10.0,10.0
